wage,year,age,maritl,education
99.6894637,2004,26,1. Never Married,3. Some College
99.6894637,2008,39,2. Married,5. Advanced Degree
99.6894637,2006,25,2. Married,2. HS Grad
94.07271475,2005,31,1. Never Married,4. College Grad
152.2168068,2004,58,2. Married,3. Some College
104.9215065,2005,30,2. Married,4. College Grad
65.11085372,2004,27,2. Married,1. < HS Grad
95.23071257,2003,40,4. Divorced,2. HS Grad
173.8794933,2006,55,2. Married,5. Advanced Degree
193.4110705,2009,35,2. Married,5. Advanced Degree
114.4757133,2008,48,2. Married,2. HS Grad
160.6424754,2006,29,1. Never Married,4. College Grad
89.49247952,2005,25,1. Never Married,3. Some College
120.5894365,2004,40,2. Married,3. Some College
73.77574327,2006,27,2. Married,1. < HS Grad
127.1157438,2006,44,2. Married,2. HS Grad
118.8843593,2006,49,2. Married,3. Some College
34.60741773,2003,22,1. Never Married,3. Some College
114.4757133,2007,45,2. Married,3. Some College
85.38394038,2007,33,2. Married,3. Some College
318.3424301,2007,63,2. Married,5. Advanced Degree
141.7751723,2006,49,1. Never Married,4. College Grad
130.9821774,2005,39,1. Never Married,5. Advanced Degree
73.77574327,2007,25,1. Never Married,1. < HS Grad
130.9821774,2005,29,1. Never Married,5. Advanced Degree
75.04315402,2006,37,2. Married,2. HS Grad
154.9902603,2008,35,2. Married,5. Advanced Degree
104.9215065,2009,46,2. Married,2. HS Grad
73.11830692,2008,58,2. Married,4. College Grad
123.0896998,2003,39,2. Married,5. Advanced Degree
157.7005277,2008,41,2. Married,4. College Grad
81.28325328,2008,29,2. Married,4. College Grad
107.2560621,2009,37,2. Married,4. College Grad
78.98167452,2009,62,2. Married,2. HS Grad
73.77574327,2008,27,1. Never Married,2. HS Grad
94.07271475,2003,37,2. Married,2. HS Grad
99.6894637,2006,56,5. Separated,4. College Grad
176.9896505,2004,36,2. Married,3. Some College
73.77574327,2005,23,1. Never Married,2. HS Grad
99.6894637,2003,46,2. Married,3. Some College
94.07271475,2009,26,1. Never Married,3. Some College
95.23071257,2006,43,2. Married,1. < HS Grad
127.1157438,2007,36,2. Married,2. HS Grad
99.6894637,2003,54,5. Separated,3. Some College
95.68881191,2003,62,2. Married,2. HS Grad
109.8339856,2006,40,2. Married,2. HS Grad
118.8843593,2006,53,2. Married,3. Some College
176.9896505,2007,48,2. Married,5. Advanced Degree
61.18752643,2004,23,2. Married,4. College Grad
81.28325328,2009,34,2. Married,2. HS Grad
256.4006496,2004,43,2. Married,4. College Grad
81.28325328,2006,55,2. Married,2. HS Grad
81.28325328,2007,59,1. Never Married,2. HS Grad
55.76739051,2007,60,2. Married,2. HS Grad
75.35567932,2009,49,1. Never Married,2. HS Grad
130.9821774,2006,45,2. Married,3. Some College
43.73511168,2006,31,4. Divorced,2. HS Grad
114.4757133,2004,34,1. Never Married,4. College Grad
114.4757133,2005,26,1. Never Married,5. Advanced Degree
81.28325328,2007,22,1. Never Married,2. HS Grad
68.5721657,2004,40,2. Married,2. HS Grad
109.8339856,2009,41,2. Married,3. Some College
97.49329405,2006,36,1. Never Married,3. Some College
62.39835472,2007,38,2. Married,1. < HS Grad
97.49329405,2003,48,2. Married,2. HS Grad
134.7053751,2006,47,2. Married,3. Some College
61.18752643,2005,47,5. Separated,1. < HS Grad
118.8843593,2007,35,2. Married,4. College Grad
65.11085372,2008,49,2. Married,2. HS Grad
109.8339856,2004,40,2. Married,3. Some College
104.9215065,2004,32,3. Widowed,4. College Grad
73.77574327,2008,57,2. Married,4. College Grad
141.7751723,2008,56,2. Married,4. College Grad
90.48191336,2009,73,2. Married,1. < HS Grad
73.77574327,2007,29,1. Never Married,2. HS Grad
134.7053751,2003,49,2. Married,5. Advanced Degree
109.8339856,2009,30,1. Never Married,2. HS Grad
91.69922611,2008,29,2. Married,2. HS Grad
95.23071257,2004,36,2. Married,3. Some College
156.5035109,2009,39,2. Married,5. Advanced Degree
104.9215065,2007,48,2. Married,4. College Grad
99.6894637,2006,45,2. Married,4. College Grad
54.59815003,2004,50,2. Married,4. College Grad
32.36641317,2003,42,2. Married,4. College Grad
118.8843593,2007,58,2. Married,3. Some College
109.8339856,2007,48,2. Married,2. HS Grad
109.8339856,2003,48,2. Married,4. College Grad
118.8843593,2005,45,2. Married,3. Some College
110.7826503,2007,41,4. Divorced,3. Some College
93.55726735,2008,27,1. Never Married,2. HS Grad
109.8339856,2004,44,2. Married,2. HS Grad
118.8843593,2003,32,2. Married,4. College Grad
118.8843593,2006,46,2. Married,1. < HS Grad
52.15617117,2005,52,2. Married,2. HS Grad
43.73511168,2003,22,1. Never Married,3. Some College
117.1468169,2004,53,3. Widowed,2. HS Grad
118.8843593,2008,34,2. Married,5. Advanced Degree
148.4131591,2009,38,2. Married,2. HS Grad
101.8243521,2009,42,2. Married,1. < HS Grad
94.07271475,2005,25,1. Never Married,3. Some College
86.69515483,2004,29,1. Never Married,3. Some College
141.7751723,2005,28,2. Married,5. Advanced Degree
66.96164432,2005,46,2. Married,4. College Grad
118.8843593,2007,55,2. Married,5. Advanced Degree
105.7676396,2004,56,2. Married,2. HS Grad
118.8843593,2005,41,4. Divorced,2. HS Grad
176.9896505,2009,61,2. Married,5. Advanced Degree
65.11085372,2003,47,2. Married,2. HS Grad
85.38394038,2006,52,2. Married,3. Some College
72.15045568,2004,27,2. Married,2. HS Grad
89.24288466,2007,33,1. Never Married,3. Some College
65.11085372,2003,58,1. Never Married,2. HS Grad
145.8051634,2005,27,2. Married,4. College Grad
87.98103279,2009,52,5. Separated,2. HS Grad
41.09980363,2003,45,2. Married,5. Advanced Degree
68.3956538,2003,22,1. Never Married,2. HS Grad
81.28325328,2005,25,1. Never Married,3. Some College
73.77574327,2004,25,1. Never Married,2. HS Grad
130.9821774,2005,41,2. Married,1. < HS Grad
148.4131591,2006,54,5. Separated,4. College Grad
81.22674631,2007,23,2. Married,2. HS Grad
63.188861,2006,36,1. Never Married,5. Advanced Degree
94.07271475,2004,31,5. Separated,3. Some College
92.65813017,2006,52,2. Married,2. HS Grad
76.89360252,2007,46,2. Married,2. HS Grad
118.8843593,2007,45,2. Married,2. HS Grad
79.85490031,2009,40,2. Married,2. HS Grad
86.69515483,2004,33,1. Never Married,4. College Grad
133.9715001,2007,42,2. Married,4. College Grad
125.5254984,2007,41,2. Married,4. College Grad
92.89584479,2007,25,1. Never Married,2. HS Grad
72.15045568,2005,24,4. Divorced,2. HS Grad
118.8843593,2006,24,1. Never Married,3. Some College
70.47601965,2008,51,2. Married,2. HS Grad
127.1157438,2004,41,2. Married,2. HS Grad
114.4757133,2009,42,1. Never Married,4. College Grad
87.98103279,2005,30,1. Never Married,4. College Grad
54.59815003,2009,55,2. Married,1. < HS Grad
84.04595765,2008,23,1. Never Married,2. HS Grad
85.38394038,2003,60,4. Divorced,4. College Grad
141.7751723,2003,40,2. Married,5. Advanced Degree
110.7826503,2008,41,1. Never Married,2. HS Grad
79.85490031,2003,80,2. Married,2. HS Grad
97.49329405,2005,53,2. Married,2. HS Grad
171.7651326,2004,40,1. Never Married,2. HS Grad
137.4812478,2009,35,2. Married,3. Some College
75.35567932,2009,55,2. Married,1. < HS Grad
73.77574327,2008,24,1. Never Married,2. HS Grad
148.4131591,2007,39,2. Married,4. College Grad
95.23071257,2003,30,2. Married,5. Advanced Degree
87.98103279,2005,68,2. Married,2. HS Grad
109.8339856,2004,54,2. Married,2. HS Grad
81.28325328,2008,27,1. Never Married,4. College Grad
118.8843593,2005,34,2. Married,2. HS Grad
127.1157438,2004,53,2. Married,5. Advanced Degree
85.38394038,2004,48,2. Married,5. Advanced Degree
81.28325328,2005,59,2. Married,2. HS Grad
118.8843593,2004,30,2. Married,3. Some College
163.515864,2007,45,2. Married,5. Advanced Degree
104.9215065,2007,39,2. Married,4. College Grad
99.6894637,2008,45,2. Married,4. College Grad
281.7459706,2007,43,2. Married,5. Advanced Degree
138.2991269,2003,30,1. Never Married,5. Advanced Degree
176.9896505,2005,57,2. Married,4. College Grad
136.8763676,2004,53,2. Married,4. College Grad
186.8766776,2009,42,2. Married,4. College Grad
90.48191336,2005,23,1. Never Married,2. HS Grad
85.38394038,2009,58,2. Married,2. HS Grad
145.1436012,2005,43,2. Married,1. < HS Grad
120.5894365,2003,33,4. Divorced,5. Advanced Degree
101.8243521,2004,56,2. Married,4. College Grad
108.8745258,2006,37,2. Married,4. College Grad
38.60591452,2009,41,4. Divorced,5. Advanced Degree
92.89584479,2007,33,2. Married,3. Some College
126.3238807,2007,50,1. Never Married,5. Advanced Degree
191.5736835,2003,43,2. Married,5. Advanced Degree
155.9005061,2004,53,2. Married,4. College Grad
87.98103279,2005,37,3. Widowed,3. Some College
59.09706408,2006,20,1. Never Married,3. Some College
73.77574327,2003,26,1. Never Married,3. Some College
90.48191336,2003,29,4. Divorced,4. College Grad
118.8843593,2008,57,2. Married,4. College Grad
151.5914842,2009,47,2. Married,3. Some College
272.2947832,2004,54,2. Married,5. Advanced Degree
97.49329405,2007,38,2. Married,1. < HS Grad
68.11199407,2006,23,1. Never Married,3. Some College
127.1157438,2004,31,2. Married,2. HS Grad
272.2947832,2004,43,2. Married,4. College Grad
111.7208494,2003,33,2. Married,5. Advanced Degree
127.1157438,2004,48,2. Married,2. HS Grad
87.98103279,2008,33,2. Married,2. HS Grad
114.4757133,2009,52,2. Married,4. College Grad
69.79153085,2008,30,1. Never Married,3. Some College
94.07271475,2004,44,2. Married,2. HS Grad
127.273347,2004,38,2. Married,2. HS Grad
160.6424754,2008,51,2. Married,2. HS Grad
171.7651326,2007,47,2. Married,3. Some College
141.7751723,2005,28,2. Married,4. College Grad
115.3750386,2004,52,4. Divorced,3. Some College
72.15045568,2004,23,1. Never Married,1. < HS Grad
73.77574327,2003,65,2. Married,1. < HS Grad
127.1157438,2005,27,1. Never Married,4. College Grad
20.93437794,2004,33,2. Married,1. < HS Grad
79.85490031,2008,49,2. Married,2. HS Grad
102.8702469,2008,27,1. Never Married,3. Some College
115.3750386,2008,48,4. Divorced,2. HS Grad
97.49329405,2005,38,1. Never Married,3. Some College
104.9215065,2008,58,2. Married,3. Some College
115.3750386,2003,40,2. Married,5. Advanced Degree
93.48669204,2007,46,2. Married,2. HS Grad
123.0896998,2009,53,2. Married,3. Some College
118.8843593,2009,25,1. Never Married,5. Advanced Degree
96.37065283,2003,42,2. Married,3. Some College
84.04595765,2004,40,1. Never Married,2. HS Grad
127.1157438,2006,35,2. Married,2. HS Grad
95.23071257,2005,50,5. Separated,2. HS Grad
81.28325328,2004,34,2. Married,3. Some College
102.8702469,2009,48,2. Married,2. HS Grad
111.7208494,2004,49,2. Married,5. Advanced Degree
94.07271475,2009,41,2. Married,4. College Grad
127.1157438,2004,37,2. Married,4. College Grad
104.9215065,2003,58,2. Married,3. Some College
68.11199407,2006,28,1. Never Married,2. HS Grad
128.6804882,2003,33,2. Married,2. HS Grad
143.9273594,2003,50,2. Married,3. Some College
103.9024706,2009,38,2. Married,2. HS Grad
91.69922611,2003,48,2. Married,2. HS Grad
95.23071257,2008,30,2. Married,3. Some College
138.2991269,2006,49,2. Married,5. Advanced Degree
118.5567764,2005,44,2. Married,4. College Grad
94.07271475,2009,50,2. Married,2. HS Grad
114.4757133,2009,58,2. Married,4. College Grad
150.0132863,2004,45,1. Never Married,4. College Grad
97.49329405,2005,44,2. Married,3. Some College
90.48191336,2005,35,4. Divorced,4. College Grad
81.28325328,2005,59,2. Married,2. HS Grad
130.9821774,2009,45,2. Married,2. HS Grad
150.9627835,2004,51,2. Married,4. College Grad
130.9821774,2006,61,2. Married,3. Some College
145.1436012,2008,45,2. Married,2. HS Grad
90.48191336,2003,34,1. Never Married,4. College Grad
113.5670896,2007,33,2. Married,4. College Grad
87.98103279,2005,45,2. Married,2. HS Grad
157.7005277,2009,50,1. Never Married,5. Advanced Degree
109.8339856,2006,50,2. Married,2. HS Grad
84.04595765,2005,39,2. Married,3. Some College
160.6436382,2009,26,1. Never Married,4. College Grad
47.90556704,2007,49,2. Married,2. HS Grad
59.09706408,2003,20,1. Never Married,2. HS Grad
81.28325328,2003,31,2. Married,4. College Grad
87.98103279,2007,49,2. Married,2. HS Grad
87.98103279,2007,56,1. Never Married,2. HS Grad
143.8085568,2005,61,2. Married,4. College Grad
110.7826503,2005,56,5. Separated,2. HS Grad
118.8843593,2009,51,2. Married,4. College Grad
120.5894365,2004,42,2. Married,1. < HS Grad
272.2947832,2004,45,2. Married,4. College Grad
105.3758927,2006,30,2. Married,5. Advanced Degree
69.01087662,2005,48,1. Never Married,4. College Grad
87.98103279,2009,33,2. Married,5. Advanced Degree
89.24288466,2007,50,2. Married,3. Some College
171.7651326,2003,31,2. Married,5. Advanced Degree
133.2323508,2003,48,2. Married,4. College Grad
200.5432623,2005,35,2. Married,5. Advanced Degree
92.89584479,2009,47,2. Married,3. Some College
148.4131591,2007,45,2. Married,4. College Grad
119.7425563,2009,52,2. Married,2. HS Grad
82.6796373,2007,46,2. Married,2. HS Grad
105.9278108,2007,47,2. Married,4. College Grad
267.9010869,2009,49,2. Married,2. HS Grad
104.9215065,2007,36,2. Married,1. < HS Grad
127.1157438,2005,51,2. Married,4. College Grad
157.7005277,2008,46,2. Married,2. HS Grad
148.4131591,2004,37,2. Married,4. College Grad
65.11085372,2005,23,1. Never Married,3. Some College
104.9215065,2008,43,2. Married,4. College Grad
78.3924668,2006,34,2. Married,4. College Grad
139.2137881,2008,58,2. Married,2. HS Grad
112.6488963,2009,44,1. Never Married,4. College Grad
79.85490031,2008,61,2. Married,4. College Grad
65.11085372,2005,40,4. Divorced,1. < HS Grad
111.7208494,2003,37,2. Married,3. Some College
104.9215065,2003,33,2. Married,2. HS Grad
176.9896505,2004,38,2. Married,3. Some College
99.6894637,2006,41,2. Married,2. HS Grad
104.9215065,2005,30,2. Married,2. HS Grad
70.81503862,2003,51,2. Married,1. < HS Grad
94.07271475,2003,39,1. Never Married,3. Some College
127.1157438,2006,56,2. Married,3. Some College
97.49329405,2007,44,1. Never Married,2. HS Grad
109.8339856,2005,51,4. Divorced,5. Advanced Degree
75.19962815,2006,35,2. Married,2. HS Grad
65.11085372,2009,27,1. Never Married,2. HS Grad
146.4628385,2003,47,2. Married,3. Some College
81.28325328,2007,51,2. Married,3. Some College
127.1157438,2006,41,2. Married,2. HS Grad
73.77574327,2005,63,2. Married,1. < HS Grad
65.11085372,2009,61,1. Never Married,2. HS Grad
99.6894637,2004,46,2. Married,2. HS Grad
79.85490031,2009,33,1. Never Married,3. Some College
73.77574327,2009,35,5. Separated,1. < HS Grad
87.98103279,2003,28,2. Married,5. Advanced Degree
118.8843593,2007,50,2. Married,3. Some College
284.5247409,2007,41,2. Married,5. Advanced Degree
118.8843593,2008,23,2. Married,4. College Grad
106.9218141,2004,45,2. Married,3. Some College
100.0134869,2007,63,2. Married,5. Advanced Degree
108.8745258,2006,59,2. Married,3. Some College
114.4757133,2005,30,2. Married,4. College Grad
115.3750386,2003,30,2. Married,5. Advanced Degree
130.9821774,2007,45,2. Married,2. HS Grad
79.85490031,2005,42,2. Married,2. HS Grad
106.9218141,2009,57,2. Married,1. < HS Grad
22.96240068,2003,52,4. Divorced,3. Some College
115.1824551,2003,54,2. Married,3. Some College
103.9024706,2005,30,2. Married,3. Some College
184.4694642,2003,47,2. Married,4. College Grad
314.3293364,2003,38,1. Never Married,3. Some College
99.6894637,2003,47,2. Married,3. Some College
128.6804882,2008,39,1. Never Married,4. College Grad
87.98103279,2005,50,2. Married,2. HS Grad
54.59815003,2003,47,2. Married,2. HS Grad
99.6894637,2004,45,2. Married,2. HS Grad
118.8843593,2007,44,2. Married,1. < HS Grad
92.16112203,2003,52,2. Married,2. HS Grad
127.1157438,2004,42,2. Married,4. College Grad
41.7049905,2004,18,1. Never Married,1. < HS Grad
109.8339856,2006,56,2. Married,4. College Grad
82.6796373,2004,50,2. Married,5. Advanced Degree
277.7994802,2006,50,2. Married,5. Advanced Degree
99.6894637,2006,53,1. Never Married,3. Some College
176.9896505,2009,38,2. Married,5. Advanced Degree
84.04595765,2004,27,1. Never Married,1. < HS Grad
163.515864,2004,56,2. Married,5. Advanced Degree
81.28325328,2003,50,2. Married,5. Advanced Degree
130.9821774,2003,56,2. Married,4. College Grad
127.1157438,2007,50,2. Married,1. < HS Grad
72.15045568,2005,49,1. Never Married,2. HS Grad
104.9215065,2005,42,1. Never Married,3. Some College
186.8766776,2009,50,2. Married,5. Advanced Degree
176.9896505,2003,53,2. Married,4. College Grad
139.7030715,2007,28,2. Married,2. HS Grad
73.77574327,2003,45,2. Married,2. HS Grad
66.22940829,2009,24,1. Never Married,2. HS Grad
81.28325328,2003,25,1. Never Married,1. < HS Grad
104.9215065,2004,38,2. Married,4. College Grad
109.8339856,2009,47,2. Married,4. College Grad
154.685293,2003,38,2. Married,4. College Grad
106.9218141,2007,33,2. Married,3. Some College
277.7994802,2006,39,2. Married,5. Advanced Degree
87.98103279,2005,52,4. Divorced,2. HS Grad
90.48191336,2005,46,4. Divorced,2. HS Grad
106.9218141,2004,42,2. Married,2. HS Grad
56.90553914,2003,61,2. Married,2. HS Grad
81.28325328,2005,32,1. Never Married,2. HS Grad
107.9039239,2009,42,4. Divorced,2. HS Grad
196.1252726,2006,61,2. Married,5. Advanced Degree
91.69922611,2009,27,2. Married,2. HS Grad
200.5432623,2008,45,2. Married,5. Advanced Degree
32.36641317,2003,58,2. Married,4. College Grad
104.9215065,2007,25,1. Never Married,4. College Grad
100.7642728,2007,34,2. Married,1. < HS Grad
85.38394038,2005,44,2. Married,3. Some College
82.6796373,2007,40,2. Married,3. Some College
97.49329405,2007,51,2. Married,4. College Grad
121.0108266,2003,50,2. Married,5. Advanced Degree
133.9715001,2009,64,2. Married,4. College Grad
148.4131591,2003,54,2. Married,3. Some College
104.9215065,2008,42,1. Never Married,4. College Grad
81.28325328,2007,31,2. Married,2. HS Grad
90.48191336,2003,25,1. Never Married,4. College Grad
106.9218141,2006,32,2. Married,3. Some College
114.4757133,2007,51,2. Married,1. < HS Grad
53.39534689,2007,75,2. Married,1. < HS Grad
87.98103279,2003,28,2. Married,2. HS Grad
66.22940829,2009,28,1. Never Married,2. HS Grad
96.37065283,2007,32,1. Never Married,5. Advanced Degree
272.4032258,2006,53,2. Married,5. Advanced Degree
97.15827504,2008,36,2. Married,3. Some College
200.5432623,2004,43,2. Married,5. Advanced Degree
123.0896998,2004,51,2. Married,4. College Grad
99.6894637,2005,35,2. Married,4. College Grad
94.07271475,2004,46,5. Separated,2. HS Grad
81.28325328,2003,38,2. Married,4. College Grad
154.685293,2004,43,2. Married,4. College Grad
109.8339856,2004,39,2. Married,2. HS Grad
123.0896998,2007,37,4. Divorced,3. Some College
73.77574327,2008,59,4. Divorced,5. Advanced Degree
